Year,Month,Seasonally Adjusted CO2 (Filled)
1958-01-01,1900-01-01,   -99.99
1958-01-01,1900-02-01,   -99.99
1958-01-01,1900-03-01,   314.44
1958-01-01,1900-04-01,   315.16
1958-01-01,1900-05-01,   314.69
1958-01-01,1900-06-01,   315.15
1958-01-01,1900-07-01,   315.20
1958-01-01,1900-08-01,   316.21
1958-01-01,1900-09-01,   316.11
1958-01-01,1900-10-01,   315.41
1958-01-01,1900-11-01,   315.21
1958-01-01,1900-12-01,   315.43
1959-01-01,1900-01-01,   315.52
1959-01-01,1900-02-01,   315.84
1959-01-01,1900-03-01,   315.38
1959-01-01,1900-04-01,   315.42
1959-01-01,1900-05-01,   315.46
1959-01-01,1900-06-01,   316.00
1959-01-01,1900-07-01,   315.87
1959-01-01,1900-08-01,   316.09
1959-01-01,1900-09-01,   316.75
1959-01-01,1900-10-01,   316.34
1959-01-01,1900-11-01,   316.69
1959-01-01,1900-12-01,   316.35
1960-01-01,1900-01-01,   316.37
1960-01-01,1900-02-01,   316.33
1960-01-01,1900-03-01,   316.28
1960-01-01,1900-04-01,   316.70
1960-01-01,1900-05-01,   317.20
1960-01-01,1900-06-01,   317.45
1960-01-01,1900-07-01,   317.53
1960-01-01,1900-08-01,   317.22
1960-01-01,1900-09-01,   317.09
1960-01-01,1900-10-01,   316.84
1960-01-01,1900-11-01,   316.89
1960-01-01,1900-12-01,   316.96
1961-01-01,1900-01-01,   316.84
1961-01-01,1900-02-01,   317.06
1961-01-01,1900-03-01,   317.26
1961-01-01,1900-04-01,   317.16
1961-01-01,1900-05-01,   317.74
1961-01-01,1900-06-01,   317.61
1961-01-01,1900-07-01,   317.89
1961-01-01,1900-08-01,   318.09
1961-01-01,1900-09-01,   317.91
1961-01-01,1900-10-01,   318.33
1961-01-01,1900-11-01,   318.00
1961-01-01,1900-12-01,   317.78
1962-01-01,1900-01-01,   317.88
1962-01-01,1900-02-01,   317.90
1962-01-01,1900-03-01,   318.40
1962-01-01,1900-04-01,   318.24
1962-01-01,1900-05-01,   318.16
1962-01-01,1900-06-01,   318.45
1962-01-01,1900-07-01,   318.94
1962-01-01,1900-08-01,   318.70
1962-01-01,1900-09-01,   319.18
1962-01-01,1900-10-01,   318.45
1962-01-01,1900-11-01,   318.59
1962-01-01,1900-12-01,   318.47
1963-01-01,1900-01-01,   318.68
1963-01-01,1900-02-01,   318.41
1963-01-01,1900-03-01,   318.57
1963-01-01,1900-04-01,   319.05
1963-01-01,1900-05-01,   319.38
1963-01-01,1900-06-01,   319.31
1963-01-01,1900-07-01,   319.07
1963-01-01,1900-08-01,   319.07
1963-01-01,1900-09-01,   319.16
1963-01-01,1900-10-01,   319.03
1963-01-01,1900-11-01,   318.97
1963-01-01,1900-12-01,   319.13
1964-01-01,1900-01-01,   319.51
1964-01-01,1900-02-01,   319.37
1964-01-01,1900-03-01,   319.41
1964-01-01,1900-04-01,   319.46
1964-01-01,1900-05-01,   319.38
1964-01-01,1900-06-01,   319.74
1964-01-01,1900-07-01,   319.79
1964-01-01,1900-08-01,   320.03
1964-01-01,1900-09-01,   319.67
1964-01-01,1900-10-01,   319.92
1964-01-01,1900-11-01,   319.59
1964-01-01,1900-12-01,   319.49
1965-01-01,1900-01-01,   319.38
1965-01-01,1900-02-01,   319.79
1965-01-01,1900-03-01,   319.59
1965-01-01,1900-04-01,   319.79
1965-01-01,1900-05-01,   319.29
1965-01-01,1900-06-01,   319.69
1965-01-01,1900-07-01,   320.53
1965-01-01,1900-08-01,   320.18
1965-01-01,1900-09-01,   320.78
1965-01-01,1900-10-01,   320.37
1965-01-01,1900-11-01,   320.79
1965-01-01,1900-12-01,   320.20
1966-01-01,1900-01-01,   320.57
1966-01-01,1900-02-01,   320.94
1966-01-01,1900-03-01,   321.09
1966-01-01,1900-04-01,   321.34
1966-01-01,1900-05-01,   321.19
1966-01-01,1900-06-01,   321.56
1966-01-01,1900-07-01,   321.69
1966-01-01,1900-08-01,   321.68
1966-01-01,1900-09-01,   321.61
1966-01-01,1900-10-01,   321.18
1966-01-01,1900-11-01,   321.71
1966-01-01,1900-12-01,   321.81
1967-01-01,1900-01-01,   322.27
1967-01-01,1900-02-01,   321.83
1967-01-01,1900-03-01,   321.73
1967-01-01,1900-04-01,   322.05
1967-01-01,1900-05-01,   322.10
1967-01-01,1900-06-01,   321.89
1967-01-01,1900-07-01,   321.86
1967-01-01,1900-08-01,   322.24
1967-01-01,1900-09-01,   322.24
1967-01-01,1900-10-01,   322.48
1967-01-01,1900-11-01,   322.66
1967-01-01,1900-12-01,   322.74
1968-01-01,1900-01-01,   322.51
1968-01-01,1900-02-01,   322.48
1968-01-01,1900-03-01,   322.55
1968-01-01,1900-04-01,   322.63
1968-01-01,1900-05-01,   322.66
1968-01-01,1900-06-01,   323.17
1968-01-01,1900-07-01,   323.48
1968-01-01,1900-08-01,   323.46
1968-01-01,1900-09-01,   323.33
1968-01-01,1900-10-01,   323.34
1968-01-01,1900-11-01,   323.26
1968-01-01,1900-12-01,   323.68
1969-01-01,1900-01-01,   323.94
1969-01-01,1900-02-01,   323.75
1969-01-01,1900-03-01,   324.32
1969-01-01,1900-04-01,   324.29
1969-01-01,1900-05-01,   324.46
1969-01-01,1900-06-01,   324.49
1969-01-01,1900-07-01,   325.19
1969-01-01,1900-08-01,   324.99
1969-01-01,1900-09-01,   325.38
1969-01-01,1900-10-01,   324.88
1969-01-01,1900-11-01,   324.80
1969-01-01,1900-12-01,   324.91
1970-01-01,1900-01-01,   325.00
1970-01-01,1900-02-01,   325.32
1970-01-01,1900-03-01,   325.61
1970-01-01,1900-04-01,   325.75
1970-01-01,1900-05-01,   325.15
1970-01-01,1900-06-01,   325.44
1970-01-01,1900-07-01,   325.65
1970-01-01,1900-08-01,   326.02
1970-01-01,1900-09-01,   326.11
1970-01-01,1900-10-01,   326.18
1970-01-01,1900-11-01,   325.96
1970-01-01,1900-12-01,   325.93
1971-01-01,1900-01-01,   326.11
1971-01-01,1900-02-01,   326.01
1971-01-01,1900-03-01,   325.85
1971-01-01,1900-04-01,   325.39
1971-01-01,1900-05-01,   325.99
1971-01-01,1900-06-01,   326.34
1971-01-01,1900-07-01,   326.67
1971-01-01,1900-08-01,   326.77
1971-01-01,1900-09-01,   326.38
1971-01-01,1900-10-01,   326.69
1971-01-01,1900-11-01,   326.75
1971-01-01,1900-12-01,   326.81
1972-01-01,1900-01-01,   326.71
